ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.015,2022-07-19,RandomForest_90,1.0,1.0
PETR4,1.01,2022-07-20,RandomForest_75,1.0,1.0
PETR4,1.015,2022-07-20,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-20,RandomForest_60,1.0,1.0
PETR4,1.015,2022-07-21,RandomForest_60,1.0,1.0
PETR4,1.01,2022-07-21,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-21,RandomForest_90,0.0,0.0
PETR4,1.015,2022-07-22,RandomForest_90,1.0,1.0
PETR4,1.01,2022-07-22,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-07-22,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-07-25,RandomForest_60,1.0,1.0
PETR4,1.01,2022-07-25,RandomForest_75,1.0,1.0
PETR4,1.02,2022-07-25,RandomForest_90,1.0,1.0
PETR4,1.015,2022-07-26,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-07-26,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-26,RandomForest_60,1.0,1.0
PETR4,1.01,2022-07-27,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-27,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-07-27,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-07-28,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-07-28,RandomForest_60,1.0,1.0
PETR4,1.01,2022-07-28,RandomForest_60,1.0,1.0
PETR4,1.02,2022-07-29,RandomForest_90,1.0,1.0
PETR4,1.015,2022-07-29,RandomForest_60,1.0,1.0
